DATE,CUSR0000SEHF01
1/1/1952,27.5
2/1/1952,27.5
3/1/1952,27.5
4/1/1952,27.5
5/1/1952,27.5
6/1/1952,27.5
7/1/1952,27.5
8/1/1952,27.8
9/1/1952,27.8
10/1/1952,27.8
11/1/1952,27.9
12/1/1952,28
1/1/1953,28.1
2/1/1953,28
3/1/1953,28
4/1/1953,28.1
5/1/1953,28.1
6/1/1953,28
7/1/1953,27.9
8/1/1953,27.9
9/1/1953,27.9
10/1/1953,28
11/1/1953,28
12/1/1953,27.9
1/1/1954,27.9
2/1/1954,28
3/1/1954,28
4/1/1954,28.1
5/1/1954,28
6/1/1954,28.1
7/1/1954,28.2
8/1/1954,28.2
9/1/1954,28.2
10/1/1954,28.2
11/1/1954,28.3
12/1/1954,28.3
1/1/1955,28.4
2/1/1955,28.4
3/1/1955,28.4
4/1/1955,28.4
5/1/1955,28.5
6/1/1955,28.5
7/1/1955,28.5
8/1/1955,28.5
9/1/1955,28.5
10/1/1955,28.5
11/1/1955,28.5
12/1/1955,28.5
1/1/1956,28.6
2/1/1956,28.5
3/1/1956,28.6
4/1/1956,28.6
5/1/1956,28.6
6/1/1956,28.6
7/1/1956,28.6
8/1/1956,28.6
9/1/1956,28.6
10/1/1956,28.5
11/1/1956,28.5
12/1/1956,28.6
1/1/1957,28.6
2/1/1957,28.7
3/1/1957,28.7
4/1/1957,28.7
5/1/1957,28.7
6/1/1957,28.7
7/1/1957,28.7
8/1/1957,28.7
9/1/1957,28.7
10/1/1957,28.8
11/1/1957,28.8
12/1/1957,28.8
1/1/1958,28.9
2/1/1958,28.9
3/1/1958,28.9
4/1/1958,28.9
5/1/1958,29.1
6/1/1958,29.1
7/1/1958,29.1
8/1/1958,29.2
9/1/1958,29.2
10/1/1958,29.2
11/1/1958,29.2
12/1/1958,29.2
1/1/1959,29.2
2/1/1959,29.2
3/1/1959,29.2
4/1/1959,29.2
5/1/1959,29.4
6/1/1959,29.6
7/1/1959,29.6
8/1/1959,29.6
9/1/1959,29.7
10/1/1959,29.7
11/1/1959,29.7
12/1/1959,29.8
1/1/1960,29.8
2/1/1960,29.8
3/1/1960,29.9
4/1/1960,29.9
5/1/1960,29.9
6/1/1960,29.8
7/1/1960,29.9
8/1/1960,29.9
9/1/1960,29.9
10/1/1960,29.9
11/1/1960,29.9
12/1/1960,29.9
1/1/1961,29.9
2/1/1961,29.9
3/1/1961,30
4/1/1961,30
5/1/1961,30
6/1/1961,29.9
7/1/1961,29.9
8/1/1961,29.9
9/1/1961,29.9
10/1/1961,29.9
11/1/1961,29.9
12/1/1961,29.9
1/1/1962,29.9
2/1/1962,29.9
3/1/1962,29.9
4/1/1962,29.9
5/1/1962,29.9
6/1/1962,29.9
7/1/1962,30
8/1/1962,30
9/1/1962,30
10/1/1962,30
11/1/1962,30
12/1/1962,30
1/1/1963,30
2/1/1963,30
3/1/1963,29.9
4/1/1963,30
5/1/1963,30
6/1/1963,30
7/1/1963,30
8/1/1963,29.9
9/1/1963,29.9
10/1/1963,29.9
11/1/1963,29.9
12/1/1963,29.9
1/1/1964,29.9
2/1/1964,29.9
3/1/1964,29.9
4/1/1964,29.8
5/1/1964,29.8
6/1/1964,29.8
7/1/1964,29.7
8/1/1964,29.8
9/1/1964,29.7
10/1/1964,29.7
11/1/1964,29.7
12/1/1964,29.7
1/1/1965,29.7
2/1/1965,29.7
3/1/1965,29.7
4/1/1965,29.7
5/1/1965,29.7
6/1/1965,29.7
7/1/1965,29.7
8/1/1965,29.6
9/1/1965,29.7
10/1/1965,29.7
11/1/1965,29.7
12/1/1965,29.7
1/1/1966,29.7
2/1/1966,29.7
3/1/1966,29.7
4/1/1966,29.7
5/1/1966,29.7
6/1/1966,29.7
7/1/1966,29.7
8/1/1966,29.6
9/1/1966,29.6
10/1/1966,29.6
11/1/1966,29.6
12/1/1966,29.7
1/1/1967,29.8
2/1/1967,29.8
3/1/1967,29.8
4/1/1967,29.8
5/1/1967,29.8
6/1/1967,29.8
7/1/1967,29.9
8/1/1967,29.9
9/1/1967,30.1
10/1/1967,30.1
11/1/1967,30.1
12/1/1967,30.1
1/1/1968,30.1
2/1/1968,30.2
3/1/1968,30.2
