STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/1/1990,0,",,0,0800",0,"P,,0",0,",,0",60,",,0",44,",,0",55,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/2/1990,0,",,0,0800",0,"P,,0",0,"P,,0",73,",,0",55,",,0",60,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/3/1990,0.03,",,0,0800",0,"P,,0",0,"P,,0",76,",,0",59,",,0",59,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/4/1990,0,",,0,0800",0,"P,,0",0,"P,,0",61,",,0",36,",,0",36,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/5/1990,0,",,0,0800",0,"P,,0",0,"P,,0",56,",,0",28,",,0",30,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/6/1990,0,",,0,0800",0,"P,,0",0,"P,,0",58,",,0",30,",,0",42,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/7/1990,0.4,",,0,0800",0,"P,,0",0,"P,,0",64,",,0",30,",,0",51,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/8/1990,0,",,0,0800",0,"P,,0",0,"P,,0",58,",,0",29,",,0",30,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/9/1990,0,",,0,0800",0,"P,,0",0,"P,,0",60,",,0",29,",,0",30,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/10/1990,0,",,0,0800",0,"P,,0",0,"P,,0",64,",,0",29,",,0",36,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/11/1990,0,",,0,0800",0,"P,,0",0,"P,,0",69,",,0",36,",,0",58,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/12/1990,0,",,0,0800",0,"P,,0",0,"P,,0",72,",,0",58,",,0",61,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/13/1990,0,",,0,0800",0,"P,,0",0,"P,,0",78,",,0",54,",,0",62,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/14/1990,0,",,0,0800",0,"P,,0",0,"P,,0",78,",,0",58,",,0",64,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/15/1990,0,",,0,0800",0,"P,,0",0,"P,,0",78,",,0",63,",,0",65,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/16/1990,0,",,0,0800",0,"P,,0",0,"P,,0",77,",,0",63,",,0",69,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/17/1990,0.05,",,0,0800",0,"P,,0",0,"P,,0",76,",,0",69,",,0",72,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/18/1990,0.14,",,0,0800",0,"P,,0",0,"P,,0",76,",,0",53,",,0",55,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/19/1990,0,",,0,0800",0,"P,,0",0,"P,,0",68,",,0",40,",,0",64,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/20/1990,0,",,0,0800",0,"P,,0",0,"P,,0",77,",,0",64,",,0",70,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/21/1990,0,",,0,0800",0,"P,,0",0,"P,,0",77,",,0",64,",,0",70,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/22/1990,0.02,",,0,0800",0,"P,,0",0,"P,,0",78,",,0",31,",,0",31,",,0,0800",,,,,,,,,,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",29.4718,-95.0832,5.8,12/23/1990,0,"T,,0,0800",0,"P,,0",0,"P,,0",31,",,0",24,",,0",24,",,0,0800",,,,,,,,,,,,
