,DATE,Cost_KWH
134,1990-01-01,0.072
135,1990-02-01,0.073
136,1990-03-01,0.073
137,1990-04-01,0.073
138,1990-05-01,0.085
139,1990-06-01,0.085
140,1990-07-01,0.085
141,1990-08-01,0.085
142,1990-09-01,0.085
143,1990-10-01,0.085
144,1990-11-01,0.073
145,1990-12-01,0.072
146,1991-01-01,0.072
147,1991-02-01,0.071
148,1991-03-01,0.071
149,1991-04-01,0.072
150,1991-05-01,0.086
151,1991-06-01,0.092
152,1991-07-01,0.092
153,1991-08-01,0.086
154,1991-09-01,0.093
155,1991-10-01,0.093
156,1991-11-01,0.078
157,1991-12-01,0.078
158,1992-01-01,0.078
159,1992-02-01,0.061
160,1992-03-01,0.078
161,1992-04-01,0.079
162,1992-05-01,0.093
163,1992-06-01,0.093
164,1992-07-01,0.092
165,1992-08-01,0.086
166,1992-09-01,0.093
167,1992-10-01,0.094
168,1992-11-01,0.078
169,1992-12-01,0.078
170,1993-01-01,0.079
171,1993-02-01,0.078
172,1993-03-01,0.079
173,1993-04-01,0.079
174,1993-05-01,0.094
175,1993-06-01,0.094
176,1993-07-01,0.096
177,1993-08-01,0.096
178,1993-09-01,0.096
179,1993-10-01,0.096
180,1993-11-01,0.085
181,1993-12-01,0.085
182,1994-01-01,0.084
183,1994-02-01,0.084
184,1994-03-01,0.083
185,1994-04-01,0.083
186,1994-05-01,0.095
187,1994-06-01,0.095
188,1994-07-01,0.095
189,1994-08-01,0.096
190,1994-09-01,0.095
191,1994-10-01,0.096
192,1994-11-01,0.083
193,1994-12-01,0.084
194,1995-01-01,0.082
195,1995-02-01,0.082
196,1995-03-01,0.081
197,1995-04-01,0.035
198,1995-05-01,0.09
199,1995-06-01,0.09
200,1995-07-01,0.089
201,1995-08-01,0.09
202,1995-09-01,0.069
203,1995-10-01,0.09
204,1995-11-01,0.079
205,1995-12-01,0.079
206,1996-01-01,0.078
207,1996-02-01,0.078
208,1996-03-01,0.079
209,1996-04-01,0.079
210,1996-05-01,0.09
211,1996-06-01,0.09
212,1996-07-01,0.09
213,1996-08-01,0.091
214,1996-09-01,0.088
215,1996-10-01,0.088
216,1996-11-01,0.072
217,1996-12-01,0.072
218,1997-01-01,0.072
219,1997-02-01,0.072
220,1997-03-01,0.075
221,1997-04-01,0.075
222,1997-05-01,0.092
223,1997-06-01,0.092
224,1997-07-01,0.092
225,1997-08-01,0.091
226,1997-09-01,0.091
227,1997-10-01,0.091
228,1997-11-01,0.074
229,1997-12-01,0.074
230,1998-01-01,0.072
231,1998-02-01,0.071
232,1998-03-01,0.071
233,1998-04-01,0.071
234,1998-05-01,0.087
235,1998-06-01,0.087
236,1998-07-01,0.089
237,1998-08-01,0.089
238,1998-09-01,0.087
239,1998-10-01,0.089
240,1998-11-01,0.073
241,1998-12-01,0.073
242,1999-01-01,0.072
243,1999-02-01,0.072
244,1999-03-01,0.072
245,1999-04-01,0.072
246,1999-05-01,0.087
247,1999-06-01,0.087
248,1999-07-01,0.087
249,1999-08-01,0.087
250,1999-09-01,0.088
251,1999-10-01,0.088
252,1999-11-01,0.072
253,1999-12-01,0.073
254,2000-01-01,0.071
255,2000-02-01,0.071
256,2000-03-01,0.071
257,2000-04-01,0.071
258,2000-05-01,0.087
259,2000-06-01,0.087
260,2000-07-01,0.086
261,2000-08-01,0.086
262,2000-09-01,0.096
263,2000-10-01,0.096
264,2000-11-01,0.081
265,2000-12-01,0.09
266,2001-01-01,0.09
267,2001-02-01,0.091
268,2001-03-01,0.091
269,2001-04-01,0.091
270,2001-05-01,0.113
271,2001-06-01,0.112
272,2001-07-01,0.113
273,2001-08-01,0.107
274,2001-09-01,0.106
275,2001-10-01,0.106
276,2001-11-01,0.09
277,2001-12-01,0.09
278,2002-01-01,0.074
279,2002-02-01,0.074
280,2002-03-01,0.074
281,2002-04-01,0.074
282,2002-05-01,0.089
283,2002-06-01,0.089
284,2002-07-01,0.089
285,2002-08-01,0.089
286,2002-09-01,0.094
287,2002-10-01,0.094
288,2002-11-01,0.078
289,2002-12-01,0.078
290,2003-01-01,0.081
291,2003-02-01,0.081
292,2003-03-01,0.081
293,2003-04-01,0.089
294,2003-05-01,0.104
295,2003-06-01,0.104
296,2003-07-01,0.104
297,2003-08-01,0.113
298,2003-09-01,0.113
299,2003-10-01,0.113
300,2003-11-01,0.098
301,2003-12-01,0.098
302,2004-01-01,0.098
303,2004-02-01,0.098
304,2004-03-01,0.098
305,2004-04-01,0.098
306,2004-05-01,0.113
307,2004-06-01,0.113
308,2004-07-01,0.113
309,2004-08-01,0.114
310,2004-09-01,0.114
311,2004-10-01,0.114
312,2004-11-01,0.098
313,2004-12-01,0.098
314,2005-01-01,0.109
315,2005-02-01,0.109
316,2005-03-01,0.109
317,2005-04-01,0.109
318,2005-05-01,0.13
319,2005-06-01,0.13
320,2005-07-01,0.13
321,2005-08-01,0.13
322,2005-09-01,0.131
323,2005-10-01,0.131
324,2005-11-01,0.149
325,2005-12-01,0.134
326,2006-01-01,0.145
327,2006-02-01,0.145
328,2006-03-01,0.145
329,2006-04-01,0.149
330,2006-05-01,0.165
331,2006-06-01,0.165
332,2006-07-01,0.165
333,2006-08-01,0.165
334,2006-09-01,0.165
335,2006-10-01,0.165
336,2006-11-01,0.149
337,2006-12-01,0.149
338,2007-01-01,0.149
339,2007-02-01,0.149
340,2007-03-01,0.149
341,2007-04-01,0.149
342,2007-05-01,0.149
343,2007-06-01,0.148
344,2007-07-01,0.147
345,2007-08-01,0.147
346,2007-09-01,0.149
347,2007-10-01,0.149
348,2007-11-01,0.134
349,2007-12-01,0.134
350,2008-01-01,0.134
351,2008-02-01,0.133
352,2008-03-01,0.133
353,2008-04-01,0.135
354,2008-05-01,0.136
355,2008-06-01,0.161
356,2008-07-01,0.161
357,2008-08-01,0.161
358,2008-09-01,0.161
359,2008-10-01,0.161
360,2008-11-01,0.164
361,2008-12-01,0.164
362,2009-01-01,0.164
363,2009-02-01,0.166
364,2009-03-01,0.165
365,2009-04-01,0.165
366,2009-05-01,0.165
367,2009-06-01,0.167
368,2009-07-01,0.148
369,2009-08-01,0.147
370,2009-09-01,0.147
371,2009-10-01,0.147
372,2009-11-01,0.148
373,2009-12-01,0.148
374,2010-01-01,0.148
375,2010-02-01,0.148
376,2010-03-01,0.149
377,2010-04-01,0.15
378,2010-05-01,0.149
379,2010-06-01,0.149
380,2010-07-01,0.15
381,2010-08-01,0.15
382,2010-09-01,0.15
383,2010-10-01,0.15
384,2010-11-01,0.149
385,2010-12-01,0.15
386,2011-01-01,0.149
387,2011-02-01,0.149
388,2011-03-01,0.149
389,2011-04-01,0.149
390,2011-05-01,0.15
391,2011-06-01,0.15
392,2011-07-01,0.15
393,2011-08-01,0.15
394,2011-09-01,0.15
395,2011-10-01,0.15
396,2011-11-01,0.154
397,2011-12-01,0.154
398,2012-01-01,0.154
399,2012-02-01,0.157
400,2012-03-01,0.155
401,2012-04-01,0.155
402,2012-05-01,0.155
404,2012-07-01,0.114
405,2012-08-01,0.117
406,2012-09-01,0.108
407,2012-10-01,0.112
408,2012-11-01,0.114
409,2012-12-01,0.116
410,2013-01-01,0.111
411,2013-02-01,0.11
412,2013-03-01,0.112
413,2013-04-01,0.119
414,2013-05-01,0.127
415,2013-06-01,0.127
416,2013-07-01,0.127
417,2013-08-01,0.123
418,2013-09-01,0.116
419,2013-10-01,0.116
420,2013-11-01,0.113
421,2013-12-01,0.121
422,2014-01-01,0.131
423,2014-02-01,0.147
424,2014-03-01,0.14
425,2014-04-01,0.136
426,2014-05-01,0.139
427,2014-06-01,0.137
428,2014-07-01,0.134
429,2014-08-01,0.125
430,2014-09-01,0.129
431,2014-10-01,0.127
432,2014-11-01,0.125
433,2014-12-01,0.133
434,2015-01-01,0.116
435,2015-02-01,0.111
436,2015-03-01,0.11
437,2015-04-01,0.106
438,2015-05-01,0.105
439,2015-06-01,0.107
440,2015-07-01,0.107
441,2015-08-01,0.108
442,2015-09-01,0.107
443,2015-10-01,0.106
444,2015-11-01,0.1
445,2015-12-01,0.102
446,2016-01-01,0.105
447,2016-02-01,0.103
448,2016-03-01,0.093
449,2016-04-01,0.095
450,2016-05-01,0.097
451,2016-06-01,0.097
452,2016-07-01,0.11
453,2016-08-01,0.106
454,2016-09-01,0.115
455,2016-10-01,0.112
456,2016-11-01,0.11
457,2016-12-01,0.115
458,2017-01-01,0.125
